Angle,Intensity
17.375089105,15
17.379266922,8
17.383444739,5
17.387622557,8
17.391800374,4
17.395978191,10
17.400156008,5
17.404333826,9
17.408511643,8
17.41268946,10
17.416867277,9
17.421045095,7
17.425222912,10
17.429400729,7
17.433578546,2
17.437756364,3
17.441934181,10
17.446111998,16
17.450289815,5
17.454467633,7
17.45864545,4
17.462823267,2
17.467001084,11
17.471178902,5
17.475356719,9
17.479534536,10
17.483712353,11
17.487890171,8
17.492067988,7
17.496245805,9
17.500423622,8
17.504601439,4
17.508779257,14
17.512957074,7
17.517134891,4
17.521312708,7
17.525490526,11
17.529668343,5
17.53384616,2
17.538023977,5
17.542201795,9
17.546379612,5
17.550557429,10
17.554735246,7
17.558913064,7
17.563090881,5
17.567268698,10
17.571446515,4
17.575624333,8
17.57980215,9
17.583979967,4
17.588157784,5
17.592335602,7
17.596513419,8
17.600691236,3
17.604869053,4
17.609046871,5
17.613224688,2
17.617402505,5
17.621580322,8
17.62575814,9
17.629935957,5
17.634113774,8
17.638291591,11
17.642469409,3
17.646647226,5
17.650825043,8
17.65500286,13
17.659180678,15
17.663358495,2
17.667536312,4
17.671714129,3
17.675891947,9
17.680069764,7
17.684247581,3
17.688425398,5
17.692603215,8
17.696781033,9
17.70095885,11
17.705136667,13
17.709314484,7
17.713492302,8
17.717670119,9
17.721847936,8
17.726025753,8
17.730203571,7
17.734381388,8
17.738559205,3
17.742737022,4
17.74691484,4
17.751092657,3
17.755270474,7
17.759448291,5
17.763626109,7
17.767803926,7
17.771981743,7
17.77615956,7
17.780337378,8
17.784515195,4
17.788693012,7
17.792870829,8
17.797048647,3
17.801226464,4
17.805404281,8
17.809582098,7
17.813759916,5
17.817937733,3
17.82211555,4
17.826293367,3
17.830471185,8
17.834649002,14
17.838826819,13
17.843004636,9
17.847182454,10
17.851360271,7
17.855538088,4
17.859715905,8
17.863893723,7
17.86807154,5
17.872249357,13
17.876427174,8
17.880604991,13
17.884782809,7
17.888960626,14
17.893138443,8
17.89731626,9
17.901494078,10
17.905671895,5
17.909849712,10
17.914027529,10
17.918205347,8
17.922383164,10
17.926560981,8
17.930738798,8
17.934916616,9
17.939094433,4
17.94327225,4
17.947450067,7
17.951627885,7
17.955805702,5
17.959983519,4
17.964161336,9
17.968339154,4
17.972516971,9
