Angle,Intensity,,,,,,,,,,,,,,,,,
15.967164693,5,,,,,,,,,,,,,,,,,
15.971342511,5,,,,,,,,,,,,,,,,,
15.975520328,8,,,,,,,,,,,,,,,,,
15.979698145,9,,,,,,,,,,,,,,,,,
15.983875962,10,,,,,,,,,,,,,,,,,
15.98805378,8,,,,,,,,,,,,,,,,,
15.992231597,7,,,,,,,,,,,,,,,,,
15.996409414,5,,,,,,,,,,,,,,,,,
16.000587231,4,,,,,,,,,,,,,,,,,
16.004765049,18,,,,,,,,,,,,,,,,,
16.008942866,7,,,,,,,,,,,,,,,,,
16.013120683,8,,,,,,,,,,,,,,,,,
16.0172985,8,,,,,,,,,,,,,,,,,
16.021476318,3,,,,,,,,,,,,,,,,,
16.025654135,10,,,,,,,,,,,,,,,,,
16.029831952,13,,,,,,,,,,,,,,,,,
16.034009769,4,,,,,,,,,,,,,,,,,
16.038187587,7,,,,,,,,,,,,,,,,,
16.042365404,14,,,,,,,,,,,,,,,,,
16.046543221,11,,,,,,,,,,,,,,,,,
16.050721038,5,,,,,,,,,,,,,,,,,
16.054898856,13,,,,,,,,,,,,,,,,,
16.059076673,4,,,,,,,,,,,,,,,,,
16.06325449,8,,,,,,,,,,,,,,,,,
16.067432307,4,,,,,,,,,,,,,,,,,
16.071610125,8,,,,,,,,,,,,,,,,,
16.075787942,3,,,,,,,,,,,,,,,,,
16.079965759,7,,,,,,,,,,,,,,,,,
16.084143576,18,,,,,,,,,,,,,,,,,
16.088321394,11,,,,,,,,,,,,,,,,,
16.092499211,5,,,,,,,,,,,,,,,,,
16.096677028,11,,,,,,,,,,,,,,,,,
16.100854845,11,,,,,,,,,,,,,,,,,
16.105032663,4,,,,,,,,,,,,,,,,,
16.10921048,13,,,,,,,,,,,,,,,,,
16.113388297,9,,,,,,,,,,,,,,,,,
16.117566114,8,,,,,,,,,,,,,,,,,
16.121743932,9,,,,,,,,,,,,,,,,,
16.125921749,10,,,,,,,,,,,,,,,,,
16.130099566,7,,,,,,,,,,,,,,,,,
16.134277383,8,,,,,,,,,,,,,,,,,
16.138455201,8,,,,,,,,,,,,,,,,,
16.142633018,14,,,,,,,,,,,,,,,,,
16.146810835,8,,,,,,,,,,,,,,,,,
16.150988652,13,,,,,,,,,,,,,,,,,
16.155166469,8,,,,,,,,,,,,,,,,,
16.159344287,11,,,,,,,,,,,,,,,,,
16.163522104,5,,,,,,,,,,,,,,,,,
16.167699921,7,,,,,,,,,,,,,,,,,
16.171877738,13,,,,,,,,,,,,,,,,,
16.176055556,9,,,,,,,,,,,,,,,,,
16.180233373,10,,,,,,,,,,,,,,,,,
16.18441119,7,,,,,,,,,,,,,,,,,
16.188589007,8,,,,,,,,,,,,,,,,,
16.192766825,15,,,,,,,,,,,,,,,,,
16.196944642,8,,,,,,,,,,,,,,,,,
16.201122459,4,,,,,,,,,,,,,,,,,
16.205300276,7,,,,,,,,,,,,,,,,,
16.209478094,4,,,,,,,,,,,,,,,,,
16.213655911,9,,,,,,,,,,,,,,,,,
16.217833728,9,,,,,,,,,,,,,,,,,
16.222011545,7,,,,,,,,,,,,,,,,,
16.226189363,5,,,,,,,,,,,,,,,,,
16.23036718,7,,,,,,,,,,,,,,,,,
16.234544997,4,,,,,,,,,,,,,,,,,
16.238722814,8,,,,,,,,,,,,,,,,,
16.242900632,13,,,,,,,,,,,,,,,,,
16.247078449,8,,,,,,,,,,,,,,,,,
16.251256266,5,,,,,,,,,,,,,,,,,
16.255434083,18,,,,,,,,,,,,,,,,,
16.259611901,8,,,,,,,,,,,,,,,,,
16.263789718,8,,,,,,,,,,,,,,,,,
16.267967535,5,,,,,,,,,,,,,,,,,
16.272145352,3,,,,,,,,,,,,,,,,,
16.27632317,15,,,,,,,,,,,,,,,,,
16.280500987,5,,,,,,,,,,,,,,,,,
16.284678804,5,,,,,,,,,,,,,,,,,
16.288856621,11,,,,,,,,,,,,,,,,,
16.293034439,13,,,,,,,,,,,,,,,,,
16.297212256,14,,,,,,,,,,,,,,,,,
16.301390073,5,,,,,,,,,,,,,,,,,
16.30556789,8,,,,,,,,,,,,,,,,,
16.309745708,13,,,,,,,,,,,,,,,,,
16.313923525,13,,,,,,,,,,,,,,,,,
16.318101342,7,,,,,,,,,,,,,,,,,
16.322279159,15,,,,,,,,,,,,,,,,,
16.326456977,7,,,,,,,,,,,,,,,,,
16.330634794,9,,,,,,,,,,,,,,,,,
16.334812611,8,,,,,,,,,,,,,,,,,
16.338990428,9,,,,,,,,,,,,,,,,,
16.343168246,3,,,,,,,,,,,,,,,,,
16.347346063,4,,,,,,,,,,,,,,,,,
16.35152388,9,,,,,,,,,,,,,,,,,
16.355701697,8,,,,,,,,,,,,,,,,,
16.359879514,11,,,,,,,,,,,,,,,,,
16.364057332,5,,,,,,,,,,,,,,,,,
16.368235149,4,,,,,,,,,,,,,,,,,
16.372412966,4,,,,,,,,,,,,,,,,,
16.376590783,8,,,,,,,,,,,,,,,,,
16.380768601,13,,,,,,,,,,,,,,,,,
16.384946418,9,,,,,,,,,,,,,,,,,
16.389124235,8,,,,,,,,,,,,,,,,,
16.393302052,9,,,,,,,,,,,,,,,,,
16.39747987,8,,,,,,,,,,,,,,,,,
16.401657687,10,,,,,,,,,,,,,,,,,
16.405835504,1,,,,,,,,,,,,,,,,,
16.410013321,11,,,,,,,,,,,,,,,,,
16.414191139,7,,,,,,,,,,,,,,,,,
16.418368956,11,,,,,,,,,,,,,,,,,
16.422546773,3,,,,,,,,,,,,,,,,,
16.42672459,13,,,,,,,,,,,,,,,,,
16.430902408,7,,,,,,,,,,,,,,,,,
16.435080225,11,,,,,,,,,,,,,,,,,
16.439258042,13,,,,,,,,,,,,,,,,,
16.443435859,5,,,,,,,,,,,,,,,,,
16.447613677,8,,,,,,,,,,,,,,,,,
16.451791494,9,,,,,,,,,,,,,,,,,
16.455969311,2,,,,,,,,,,,,,,,,,
16.460147128,5,,,,,,,,,,,,,,,,,
16.464324946,9,,,,,,,,,,,,,,,,,
16.468502763,10,,,,,,,,,,,,,,,,,
16.47268058,13,,,,,,,,,,,,,,,,,
16.476858397,7,,,,,,,,,,,,,,,,,
16.481036215,9,,,,,,,,,,,,,,,,,
16.485214032,8,,,,,,,,,,,,,,,,,
16.489391849,8,,,,,,,,,,,,,,,,,
16.493569666,9,,,,,,,,,,,,,,,,,
16.497747484,5,,,,,,,,,,,,,,,,,
16.501925301,11,,,,,,,,,,,,,,,,,
16.506103118,13,,,,,,,,,,,,,,,,,
16.510280935,4,,,,,,,,,,,,,,,,,
16.514458753,8,,,,,,,,,,,,,,,,,
16.51863657,4,,,,,,,,,,,,,,,,,
16.522814387,7,,,,,,,,,,,,,,,,,
16.526992204,9,,,,,,,,,,,,,,,,,
16.531170022,7,,,,,,,,,,,,,,,,,
16.535347839,5,,,,,,,,,,,,,,,,,
16.539525656,7,,,,,,,,,,,,,,,,,
16.543703473,11,,,,,,,,,,,,,,,,,
16.54788129,3,,,,,,,,,,,,,,,,,
16.552059108,7,,,,,,,,,,,,,,,,,
16.556236925,14,,,,,,,,,,,,,,,,,
16.560414742,7,,,,,,,,,,,,,,,,,
16.564592559,8,,,,,,,,,,,,,,,,,
16.568770377,5,,,,,,,,,,,,,,,,,
16.572948194,5,,,,,,,,,,,,,,,,,
16.577126011,3,,,,,,,,,,,,,,,,,
16.581303828,10,,,,,,,,,,,,,,,,,
16.585481646,7,,,,,,,,,,,,,,,,,
16.589659463,5,,,,,,,,,,,,,,,,,
16.59383728,3,,,,,,,,,,,,,,,,,
16.598015097,5,,,,,,,,,,,,,,,,,
16.602192915,11,,,,,,,,,,,,,,,,,
16.606370732,9,,,,,,,,,,,,,,,,,
16.610548549,7,,,,,,,,,,,,,,,,,
16.614726366,2,,,,,,,,,,,,,,,,,
16.618904184,4,,,,,,,,,,,,,,,,,
16.623082001,10,,,,,,,,,,,,,,,,,
16.627259818,5,,,,,,,,,,,,,,,,,
16.631437635,5,,,,,,,,,,,,,,,,,
16.635615453,7,,,,,,,,,,,,,,,,,
16.63979327,11,,,,,,,,,,,,,,,,,
