Divergence slit,Fixed,0.19mm,,,,,,,,,,,,,,69.1631,34.58155,0.603561908,1.226481993,1.50425808,16.427,24.71044749,4.970960419
Monochromator used,NO,,,,,,,,,,,,,,,88.0468,44.0234,0.768353278,1.001687748,1.003378345,24.623,24.70618498,4.97053166
Generator voltage,45,,,,,,,,,,,,,,,,,,,,,,
Tube current,40,,,,,,,,,,,,,,,,,,,,,,
File date and time,11/6/2018 9:22,,,,,,,,,,,,,,,,,,,,,,
Unit cell,,,,,,,,,,,,,,,,,,,,,,,
h k l, 0 0 0,,,,,,,,,,,,,,,,,,,,,,
Scan axis,Gonio,,,,,,,,,,,,,,,,,,,,,,
Scan range,10.001,149.9996559,,,,,,,,,,,,,,,,,,,,,
Scan step size,0.0083556,,,,,,,,,,,,,,,,,,,,,,
No. of points,16755,,,,,,,,,,,,,,,,,,,,,,
Scan type,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,
Phi,0,,,,,,,,,,,,,,,,,,,,,,
Time per step,1.905,,,,,,,,,,,,,,,,,,,,,,
[Scan points],,,,,,,,,,,,,,,,,,,,,,,
Angle,Intensity,,,,,,,,,,,,,,,,,,,,,,
10.69033985,8,,,,,,,,,,,,,,,,,,,,,,
10.69869548,8,,,,,,,,,,,,,,,,,,,,,,
10.70705112,12,,,,,,,,,,,,,,,,,,,,,,
10.71540675,9,,,,,,,,,,,,,,,,,,,,,,
10.72376239,6,,,,,,,,,,,,,,,,,,,,,,
10.73211802,8,,,,,,,,,,,,,,,,,,,,,,
10.74047366,9,,,,,,,,,,,,,,,,,,,,,,
10.74882929,8,,,,,,,,,,,,,,,,,,,,,,
10.75718492,9,,,,,,,,,,,,,,,,,,,,,,
10.76554056,5,,,,,,,,,,,,,,,,,,,,,,
10.77389619,6,,,,,,,,,,,,,,,,,,,,,,
10.78225183,13,,,,,,,,,,,,,,,,,,,,,,
10.79060746,13,,,,,,,,,,,,,,,,,,,,,,
10.7989631,13,,,,,,,,,,,,,,,,,,,,,,
10.80731873,10,,,,,,,,,,,,,,,,,,,,,,
10.81567437,5,,,,,,,,,,,,,,,,,,,,,,
10.82403,6,,,,,,,,,,,,,,,,,,,,,,
10.83238563,13,,,,,,,,,,,,,,,,,,,,,,
10.84074127,6,,,,,,,,,,,,,,,,,,,,,,
10.8490969,18,,,,,,,,,,,,,,,,,,,,,,
10.85745254,9,,,,,,,,,,,,,,,,,,,,,,
10.86580817,9,,,,,,,,,,,,,,,,,,,,,,
10.87416381,14,,,,,,,,,,,,,,,,,,,,,,
10.88251944,13,,,,,,,,,,,,,,,,,,,,,,
10.89087508,5,,,,,,,,,,,,,,,,,,,,,,
10.89923071,9,,,,,,,,,,,,,,,,,,,,,,
10.90758635,6,,,,,,,,,,,,,,,,,,,,,,
10.91594198,14,,,,,,,,,,,,,,,,,,,,,,
10.92429761,2,,,,,,,,,,,,,,,,,,,,,,
10.93265325,10,,,,,,,,,,,,,,,,,,,,,,
10.94100888,9,,,,,,,,,,,,,,,,,,,,,,
10.94936452,14,,,,,,,,,,,,,,,,,,,,,,
10.95772015,9,,,,,,,,,,,,,,,,,,,,,,
10.96607579,12,,,,,,,,,,,,,,,,,,,,,,
10.97443142,6,,,,,,,,,,,,,,,,,,,,,,
10.98278706,8,,,,,,,,,,,,,,,,,,,,,,
10.99114269,6,,,,,,,,,,,,,,,,,,,,,,
10.99949832,9,,,,,,,,,,,,,,,,,,,,,,
11.00785396,5,,,,,,,,,,,,,,,,,,,,,,
11.01620959,13,,,,,,,,,,,,,,,,,,,,,,
11.02456523,16,,,,,,,,,,,,,,,,,,,,,,
11.03292086,10,,,,,,,,,,,,,,,,,,,,,,
11.0412765,9,,,,,,,,,,,,,,,,,,,,,,
11.04963213,6,,,,,,,,,,,,,,,,,,,,,,
11.05798777,12,,,,,,,,,,,,,,,,,,,,,,
11.0663434,14,,,,,,,,,,,,,,,,,,,,,,
11.07469904,8,,,,,,,,,,,,,,,,,,,,,,
11.08305467,5,,,,,,,,,,,,,,,,,,,,,,
11.0914103,6,,,,,,,,,,,,,,,,,,,,,,
11.09976594,10,,,,,,,,,,,,,,,,,,,,,,
11.10812157,14,,,,,,,,,,,,,,,,,,,,,,
11.11647721,20,,,,,,,,,,,,,,,,,,,,,,
11.12483284,12,,,,,,,,,,,,,,,,,,,,,,
11.13318848,13,,,,,,,,,,,,,,,,,,,,,,
11.14154411,10,,,,,,,,,,,,,,,,,,,,,,
11.14989975,6,,,,,,,,,,,,,,,,,,,,,,
11.15825538,8,,,,,,,,,,,,,,,,,,,,,,
11.16661101,12,,,,,,,,,,,,,,,,,,,,,,
11.17496665,6,,,,,,,,,,,,,,,,,,,,,,
11.18332228,8,,,,,,,,,,,,,,,,,,,,,,
11.19167792,8,,,,,,,,,,,,,,,,,,,,,,
11.20003355,4,,,,,,,,,,,,,,,,,,,,,,
11.20838919,8,,,,,,,,,,,,,,,,,,,,,,
11.21674482,6,,,,,,,,,,,,,,,,,,,,,,
11.22510046,10,,,,,,,,,,,,,,,,,,,,,,
11.23345609,9,,,,,,,,,,,,,,,,,,,,,,
11.24181172,13,,,,,,,,,,,,,,,,,,,,,,
11.25016736,10,,,,,,,,,,,,,,,,,,,,,,
11.25852299,12,,,,,,,,,,,,,,,,,,,,,,
11.26687863,13,,,,,,,,,,,,,,,,,,,,,,
11.27523426,8,,,,,,,,,,,,,,,,,,,,,,
11.2835899,5,,,,,,,,,,,,,,,,,,,,,,
11.29194553,9,,,,,,,,,,,,,,,,,,,,,,
11.30030117,14,,,,,,,,,,,,,,,,,,,,,,
11.3086568,14,,,,,,,,,,,,,,,,,,,,,,
11.31701244,4,,,,,,,,,,,,,,,,,,,,,,
11.32536807,6,,,,,,,,,,,,,,,,,,,,,,
11.3337237,5,,,,,,,,,,,,,,,,,,,,,,
11.34207934,10,,,,,,,,,,,,,,,,,,,,,,
11.35043497,4,,,,,,,,,,,,,,,,,,,,,,
11.35879061,5,,,,,,,,,,,,,,,,,,,,,,
11.36714624,8,,,,,,,,,,,,,,,,,,,,,,
11.37550188,10,,,,,,,,,,,,,,,,,,,,,,
11.38385751,8,,,,,,,,,,,,,,,,,,,,,,
11.39221315,6,,,,,,,,,,,,,,,,,,,,,,
11.40056878,12,,,,,,,,,,,,,,,,,,,,,,
11.40892441,10,,,,,,,,,,,,,,,,,,,,,,
11.41728005,8,,,,,,,,,,,,,,,,,,,,,,
11.42563568,13,,,,,,,,,,,,,,,,,,,,,,
11.43399132,8,,,,,,,,,,,,,,,,,,,,,,
11.44234695,6,,,,,,,,,,,,,,,,,,,,,,
11.45070259,9,,,,,,,,,,,,,,,,,,,,,,
11.45905822,12,,,,,,,,,,,,,,,,,,,,,,
11.46741386,20,,,,,,,,,,,,,,,,,,,,,,
11.47576949,6,,,,,,,,,,,,,,,,,,,,,,
11.48412512,8,,,,,,,,,,,,,,,,,,,,,,
11.49248076,8,,,,,,,,,,,,,,,,,,,,,,
11.50083639,9,,,,,,,,,,,,,,,,,,,,,,
11.50919203,10,,,,,,,,,,,,,,,,,,,,,,
11.51754766,10,,,,,,,,,,,,,,,,,,,,,,
11.5259033,10,,,,,,,,,,,,,,,,,,,,,,
11.53425893,9,,,,,,,,,,,,,,,,,,,,,,
11.54261457,12,,,,,,,,,,,,,,,,,,,,,,
11.5509702,5,,,,,,,,,,,,,,,,,,,,,,
11.55932584,8,,,,,,,,,,,,,,,,,,,,,,
11.56768147,6,,,,,,,,,,,,,,,,,,,,,,
11.5760371,10,,,,,,,,,,,,,,,,,,,,,,
11.58439274,5,,,,,,,,,,,,,,,,,,,,,,
11.59274837,4,,,,,,,,,,,,,,,,,,,,,,
11.60110401,9,,,,,,,,,,,,,,,,,,,,,,
11.60945964,12,,,,,,,,,,,,,,,,,,,,,,
11.61781528,13,,,,,,,,,,,,,,,,,,,,,,
11.62617091,10,,,,,,,,,,,,,,,,,,,,,,
11.63452655,9,,,,,,,,,,,,,,,,,,,,,,
11.64288218,12,,,,,,,,,,,,,,,,,,,,,,
11.65123781,12,,,,,,,,,,,,,,,,,,,,,,
11.65959345,9,,,,,,,,,,,,,,,,,,,,,,
11.66794908,10,,,,,,,,,,,,,,,,,,,,,,
11.67630472,9,,,,,,,,,,,,,,,,,,,,,,
11.68466035,6,,,,,,,,,,,,,,,,,,,,,,
11.69301599,6,,,,,,,,,,,,,,,,,,,,,,
11.70137162,8,,,,,,,,,,,,,,,,,,,,,,
11.70972726,17,,,,,,,,,,,,,,,,,,,,,,
11.71808289,9,,,,,,,,,,,,,,,,,,,,,,
11.72643853,9,,,,,,,,,,,,,,,,,,,,,,
11.73479416,14,,,,,,,,,,,,,,,,,,,,,,
11.74314979,6,,,,,,,,,,,,,,,,,,,,,,
11.75150543,6,,,,,,,,,,,,,,,,,,,,,,
11.75986106,4,,,,,,,,,,,,,,,,,,,,,,
11.7682167,5,,,,,,,,,,,,,,,,,,,,,,
11.77657233,5,,,,,,,,,,,,,,,,,,,,,,
11.78492797,6,,,,,,,,,,,,,,,,,,,,,,
11.7932836,5,,,,,,,,,,,,,,,,,,,,,,
11.80163924,8,,,,,,,,,,,,,,,,,,,,,,
11.80999487,4,,,,,,,,,,,,,,,,,,,,,,
11.8183505,8,,,,,,,,,,,,,,,,,,,,,,
11.82670614,5,,,,,,,,,,,,,,,,,,,,,,
11.83506177,14,,,,,,,,,,,,,,,,,,,,,,
11.84341741,6,,,,,,,,,,,,,,,,,,,,,,
11.85177304,6,,,,,,,,,,,,,,,,,,,,,,
11.86012868,10,,,,,,,,,,,,,,,,,,,,,,
11.86848431,13,,,,,,,,,,,,,,,,,,,,,,
11.87683995,8,,,,,,,,,,,,,,,,,,,,,,
11.88519558,14,,,,,,,,,,,,,,,,,,,,,,
11.89355121,6,,,,,,,,,,,,,,,,,,,,,,
11.90190685,10,,,,,,,,,,,,,,,,,,,,,,
11.91026248,10,,,,,,,,,,,,,,,,,,,,,,
11.91861812,9,,,,,,,,,,,,,,,,,,,,,,
11.92697375,6,,,,,,,,,,,,,,,,,,,,,,
11.93532939,12,,,,,,,,,,,,,,,,,,,,,,
11.94368502,6,,,,,,,,,,,,,,,,,,,,,,
11.95204066,8,,,,,,,,,,,,,,,,,,,,,,
11.96039629,2,,,,,,,,,,,,,,,,,,,,,,
11.96875193,9,,,,,,,,,,,,,,,,,,,,,,
11.97710756,5,,,,,,,,,,,,,,,,,,,,,,
11.98546319,9,,,,,,,,,,,,,,,,,,,,,,
11.99381883,16,,,,,,,,,,,,,,,,,,,,,,
12.00217446,4,,,,,,,,,,,,,,,,,,,,,,
12.0105301,8,,,,,,,,,,,,,,,,,,,,,,
12.01888573,8,,,,,,,,,,,,,,,,,,,,,,
12.02724137,2,,,,,,,,,,,,,,,,,,,,,,
12.035597,12,,,,,,,,,,,,,,,,,,,,,,
12.04395264,6,,,,,,,,,,,,,,,,,,,,,,
12.05230827,4,,,,,,,,,,,,,,,,,,,,,,
12.0606639,5,,,,,,,,,,,,,,,,,,,,,,
12.06901954,8,,,,,,,,,,,,,,,,,,,,,,
12.07737517,8,,,,,,,,,,,,,,,,,,,,,,
12.08573081,14,,,,,,,,,,,,,,,,,,,,,,
12.09408644,10,,,,,,,,,,,,,,,,,,,,,,
12.10244208,6,,,,,,,,,,,,,,,,,,,,,,
12.11079771,16,,,,,,,,,,,,,,,,,,,,,,
12.11915335,13,,,,,,,,,,,,,,,,,,,,,,
12.12750898,8,,,,,,,,,,,,,,,,,,,,,,
12.13586462,8,,,,,,,,,,,,,,,,,,,,,,
12.14422025,9,,,,,,,,,,,,,,,,,,,,,,
12.15257588,9,,,,,,,,,,,,,,,,,,,,,,
12.16093152,8,,,,,,,,,,,,,,,,,,,,,,
12.16928715,10,,,,,,,,,,,,,,,,,,,,,,
12.17764279,8,,,,,,,,,,,,,,,,,,,,,,
12.18599842,4,,,,,,,,,,,,,,,,,,,,,,
12.19435406,12,,,,,,,,,,,,,,,,,,,,,,
12.20270969,8,,,,,,,,,,,,,,,,,,,,,,
12.21106533,14,,,,,,,,,,,,,,,,,,,,,,
12.21942096,8,,,,,,,,,,,,,,,,,,,,,,
12.22777659,5,,,,,,,,,,,,,,,,,,,,,,
12.23613223,4,,,,,,,,,,,,,,,,,,,,,,
12.24448786,6,,,,,,,,,,,,,,,,,,,,,,
12.2528435,5,,,,,,,,,,,,,,,,,,,,,,
12.26119913,4,,,,,,,,,,,,,,,,,,,,,,
12.26955477,6,,,,,,,,,,,,,,,,,,,,,,
12.2779104,5,,,,,,,,,,,,,,,,,,,,,,
12.28626604,17,,,,,,,,,,,,,,,,,,,,,,
12.29462167,9,,,,,,,,,,,,,,,,,,,,,,
12.3029773,12,,,,,,,,,,,,,,,,,,,,,,
12.31133294,5,,,,,,,,,,,,,,,,,,,,,,
